date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
20:04:54	193275/193275	---M--	200	added ('OK')	image/jpeg	etag:%222f2fb-6186118a-9d3d193effb27107;;;%22	https://frenify.net/envato/frenify/html/resumo/1/img/portfolio/2.jpg	C:/Users/hp/Desktop/web%20download/frenify.net/envato/frenify/html/resumo/1/img/portfolio/2.jpg	(from https://frenify.net/envato/frenify/html/resumo/1/index.html)
20:04:55	75379/75379	---M--	200	added ('OK')	image/jpeg	etag:%2212673-6186118a-5527cca32e6d3d9b;;;%22	https://frenify.net/envato/frenify/html/resumo/1/img/portfolio/3.jpg	C:/Users/hp/Desktop/web%20download/frenify.net/envato/frenify/html/resumo/1/img/portfolio/3.jpg	(from https://frenify.net/envato/frenify/html/resumo/1/index.html)
20:04:55	28704/28704	---M--	200	added ('OK')	image/jpeg	etag:%227020-61861189-43389725a2b163ca;;;%22	https://frenify.net/envato/frenify/html/resumo/1/img/portfolio/4.jpg	C:/Users/hp/Desktop/web%20download/frenify.net/envato/frenify/html/resumo/1/img/portfolio/4.jpg	(from https://frenify.net/envato/frenify/html/resumo/1/index.html)
20:04:58	3263/3263	---M--	200	added ('OK')	image/png	etag:%22cbf-61861189-3ebadea0bee68694;;;%22	https://frenify.net/envato/frenify/html/resumo/1/img/partners/1.png	C:/Users/hp/Desktop/web%20download/frenify.net/envato/frenify/html/resumo/1/img/partners/1.png	(from https://frenify.net/envato/frenify/html/resumo/1/index.html)
20:04:58	6307/6307	---M--	200	added ('OK')	image/png	etag:%2218a3-61861189-acc9958b14f073e8;;;%22	https://frenify.net/envato/frenify/html/resumo/1/img/partners/2.png	C:/Users/hp/Desktop/web%20download/frenify.net/envato/frenify/html/resumo/1/img/partners/2.png	(from https://frenify.net/envato/frenify/html/resumo/1/index.html)
20:04:58	368671/368671	---M--	200	added ('OK')	image/jpeg	etag:%225a01f-6186118a-9ef524efbea7fb82;;;%22	https://frenify.net/envato/frenify/html/resumo/1/img/portfolio/5.jpg	C:/Users/hp/Desktop/web%20download/frenify.net/envato/frenify/html/resumo/1/img/portfolio/5.jpg	(from https://frenify.net/envato/frenify/html/resumo/1/index.html)
20:04:58	2223/2223	---M--	200	added ('OK')	image/png	etag:%228af-61861189-2d0a3bddc67b03e6;;;%22	https://frenify.net/envato/frenify/html/resumo/1/img/partners/3.png	C:/Users/hp/Desktop/web%20download/frenify.net/envato/frenify/html/resumo/1/img/partners/3.png	(from https://frenify.net/envato/frenify/html/resumo/1/index.html)
20:04:58	5299/5299	---M--	200	added ('OK')	image/png	etag:%2214b3-61861189-635b9d53b9e3113c;;;%22	https://frenify.net/envato/frenify/html/resumo/1/img/partners/4.png	C:/Users/hp/Desktop/web%20download/frenify.net/envato/frenify/html/resumo/1/img/partners/4.png	(from https://frenify.net/envato/frenify/html/resumo/1/index.html)
20:04:59	2676/2676	---M--	200	added ('OK')	image/png	etag:%22a74-61861189-2cb7e9a52d933853;;;%22	https://frenify.net/envato/frenify/html/resumo/1/img/partners/5.png	C:/Users/hp/Desktop/web%20download/frenify.net/envato/frenify/html/resumo/1/img/partners/5.png	(from https://frenify.net/envato/frenify/html/resumo/1/index.html)
20:05:00	3058/3058	---M--	200	added ('OK')	image/png	etag:%22bf2-61861189-ccfffad5bcf79549;;;%22	https://frenify.net/envato/frenify/html/resumo/1/img/partners/6.png	C:/Users/hp/Desktop/web%20download/frenify.net/envato/frenify/html/resumo/1/img/partners/6.png	(from https://frenify.net/envato/frenify/html/resumo/1/index.html)
20:05:01	2290/2290	---M--	200	added ('OK')	image/png	etag:%228f2-61861189-8fc41c59e9dad557;;;%22	https://frenify.net/envato/frenify/html/resumo/1/img/partners/7.png	C:/Users/hp/Desktop/web%20download/frenify.net/envato/frenify/html/resumo/1/img/partners/7.png	(from https://frenify.net/envato/frenify/html/resumo/1/index.html)
20:05:02	3135/3135	---M--	200	added ('OK')	image/png	etag:%22c3f-61861189-3d48b56846c99bfb;;;%22	https://frenify.net/envato/frenify/html/resumo/1/img/partners/8.png	C:/Users/hp/Desktop/web%20download/frenify.net/envato/frenify/html/resumo/1/img/partners/8.png	(from https://frenify.net/envato/frenify/html/resumo/1/index.html)
